Animal ID,Foldcha_ALT,Foldcha_BUN,Foldcha_LYM,Foldcha_GRAN
J01,1.392857143,0.82,0.606060606,0.822222222
J16,1.266666667,0.818181818,0.537037037,1.875
J17,1.384615385,1,0.731707317,0.96875
J08,1.14516129,0.84,1.035714286,1.014285714
J02,0.806451613,1.272727273,0.888888889,4.047619048
J11,1.888888889,0.785714286,1.8,1.228571429
J05,1.227272727,1.047619048,0.566666667,0.727272727
J06,1.264705882,0.928571429,1.476190476,1.137931034
J09,1.388888889,1.289473684,0.482758621,1.273972603
J10,1.133333333,0.69047619,1,0.613333333
J13,1.103448276,0.592592593,0.483870968,1.318181818
J18,1.695652174,0.75,0.567567568,1.510638298
R16009,2.896551724,0.813953488,0.6875,0.870967742
R16037,2.714285714,0.644444444,0.944444444,1.1
R15063,1.727272727,1.23255814,1,1.285714286
